3
*12
(450,223)
(440,270)
(410,235)
(395,285)
(370,230)
(330,210)
(350,190)
(340,180)
(400,170)
(410,140)
(430,185)
(480,200)
*15
(143,370)
(126,353)
(100,400)
(82,321)
(60,340)
(71,300)
(120,270)
(120,250)
(150,290)
(195,300)
(150,320)
(170,333)
(200,350)
(176,400)
(150,360)
*33
(0,0)
(500,0)
(500,85)
(485,25)
(465,25)
(450,85)
(435,25)
(415,25)
(400,85)
(385,25)
(365,25)
(350,85)
(335,25)
(315,25)
(300,85)
(285,25)
(265,25)
(250,85)
(235,25)
(215,25)
(200,85)
(185,25)
(165,25)
(150,85)
(135,25)
(115,25)
(100,85)
(85,25)
(65,25)
(50,85)
(35,25)
(15,25)
(0,85)
